Unnamed: 0,text_tweet
928,iseng nyelem di wp setelah sekian lama trs nemu story yg ml nya konsultan ekonomi kerajaan negara sebelah fl nya artis ibu kota 
39,@IKNnusantaraID Kami warga Bengkulu mendukung pemindahan Ibu Kota negara
706,@youthful_mediaa Kalimantan Timur akan menjadi pusat seni dan budaya yang hidup #IbuKotaNegara
946,𝗣𝗲𝗿𝗽𝗶𝗻𝗱𝗮𝗵𝗮𝗻 𝗜𝗞𝗡 𝗯𝗮𝘄𝗮 𝗯𝗮𝗻𝘆𝗮𝗸 𝗱𝗮𝗺𝗽𝗮𝗸 𝗻𝗲𝗴𝗮𝘁𝗶𝗳? Akhir-akhir ini pemindahan Ibu Kota Negara (IKN) ke Nusantara menjadi topik hangat di media sosial. Banyak sekali pro dan kontra terkait rencana ini. https://t.co/fN6J7WE2FA
351,@meraaahputiiih Pertumbuhan ekonomi regional bawa efek positif pada industri #IbuKotaNegara
66,@meraaahputiiih Proyek IKN Nusantara akan menciptakan lapangan kerja yang signifikan di Indonesia. #IbuKotaNegara
277,Nggak cuma sekadar perayaan biasa buat rayakan World Book Day UNESCO tiap tahunnya menunjuk World Book Capital atau ibu kota negara buat laksanakan program Hari Buku Sedunia. Nah nantinya kota tersebut ditugaskan buat promosikan buku dan membaca
67,@meraaahputiiih Kami warga Banda Aceh mendukung pembangunan IKN Nusantara #IbuKotaNegara
905,Jadi ibu kota negara itu beban. Kini beban itu beralih ke Kalimantan sebuah kehormatan besar tanggung jawab &amp; tantangan bagi rakyat Borneo. Untuk ibu kota lama semoga dengan perpindahan ini bisa tetap berkembang menjadi lebih baik lagi. Terima kasih Jakarta. 
732,@youthful_mediaa IKN lebih dari sebuah kota namun harapan dan masa depan Indonesia ada di sana #IbuKotaNegara
816,Udah ga punya ibu kota ga punya presiden negara auto pilot njir
296,@abangbelneg Ibu Kota Negara Republik Indonesia merepresentasikan konsep kesatuan yang mengakomodasi kekayaan kemajemukan Indonesia
617,@KoalisiNetizen Seiring dengan rencana pembangunan Ibu Kota Nusantara akan ada pembangunan infrastruktur dan fasilitas yang diperlukan di daerah daerah terpencil dan kurang berkembang #IbuKotaNegara
597,@englishfess_ Yes Auckland itu nama kota di New Zealand. Fun fact: Auckland ini menjadi kota dengan populasi terbanyak di New Zealand dan sering disangka ibu kota negara. Yang benar itu ibu kota negara New Zealand adalah Wellington.
814,Para peserta demonstrasi menuju kedutaan yang diduduki di Amman ibu kota Yordania meneriakkan Amerika adalah negara terorisme. https://t.co/mTHg3127mJ https://t.co/q0W3FxVenS
797,Sebanyak 2.3 juta kenderaan dijangka keluar dari ibu kota melalui lebuh raya utama negara bermula hari ini. Video: NSTP https://t.co/gatplwNB1E
423,@abangbelneg Pemindahan ibu kota nusantara akan mempercepat pengembangan wilayah timur Indonesia. #IbuKotaNegara
756,@tanyakanrl Gimana ditanya ibu kota negara di dunia. Dulu gw pas sekolah demen banget hafalin pake buku RPUL. Anak jaman sekrang udah ada HP aja masih minim ilmu pengetahuan. HP dipake cuma buat sosmed sih.
312,@IKNnusantaraID IKN Nusantara memungkinkan terciptanya ekosistem inovasi dan teknologi yang berkelanjutan. #IbuKotaNegara
184,@IKNnusantaraID Dukung pemindahan Ibu Kota Nusantara untuk mengurangi beban Jakarta yang sudah padat penduduk dan macet. #IbuKotaNegara
332,Presiden Jokowi bersama eks PM Inggris Tony Blair membahas serangkaian inisiatif strategis untuk memajukan sektor energi terbarukan melalui pembangunan fasilitas solar panel di IKN #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/IxD9uhPm9A
88,@meraaahputiiih Potensi ekonomi dan perdagangan Kalimantan Timur akan tumbuh pesat #IbuKotaNegara
63,@meraaahputiiih Kami warga Samarinda mendukung pemindahan Ibu Kota negara
829,Jakarta tantrum dikit kemarin macet di mana-mana karena statusnya udah bukan ibu kota negara lagi Hari ini agak lebih tenang rasanya 
802,@meraaahputiiih Kami warga Tanjung Selor mendukung pemindahan Ibu Kota negara #PindahIbuK
215,Menggerakkan revolusi urban: Koordinator smart city dorong transformasi digital di IKN Nusantara. #IbuKotaNegara #IKNNusantara #PindahIbuKota kOREA #ASIANCUPU23 #TIMNASU23 SHIN TAE YONG #AFCU23AsianCup2024 BUNG TOWEL WASITNYA WITCHCRAFT https://t.co/Sx5DJHf7TT
603,@tempodotco Banyak cakap.....GK ada lagi tuh jiwa korsa di tubuh @Puspen_TNI kasihan para prajurit bertaruh nyawa di daerah konflik kalian para jenderal tenang tenang di ibu kota menikmati uang dan fasilitas negara
547,di acc ibu negara cari kerja di kota lain dan ngekos hahahahahaha
290,@abangbelneg Investasi di infrastruktur dorong pertumbuhan sektor transportasi #IbuKotaNegara
786,masa dkj dipimpin cawapres sih dia udh megang negara trs mimpin kawasan yg ibaratnya jantung negara ((walaupun bukan ibu kota lagi))
886,@abangbelneg Kami warga Ambon akan mengawal pembangunan IKN #IbuKotaNegara
962,Turkish Airlines kembali melakukan penerbangan ke ibu kota Libya Kamis (28/3). Penerbangan terakhir Turkish Airlines ke Libya tercatat pada 2015. Sudah hampir 10 tahun Turkish Airlines tak mendarat di Libya karena masalah keamanan di negara tersebut. #timurtengah #turki #libya https://t.co/LFTYojNKAa
941,6 Investor Swasta IKN Nusantara Komitmen Bangun Sarana Pendidikan Tengok 6 investor swasta IKN Nusantara komitmen bangun sarana pendidikan dan perumahan di ibu kota negara baru Kalimantan Timur. Nadiem Beckham Susu Aisyah April Mob Selvi Nabrak Arsenal https://t.co/jn4vkXOznJ
740,@youthful_mediaa Keberlanjutan lingkungan akan menjadi dasar dalam setiap rencana pembangunan #IbuKotaNegara
680,Kehadiran proyek IKN Nusantara menarik minat investor karena menghadirkan peluang investasi yang berkelanjutan. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/28Z7TP72WH
693,@Miduk17 Betul kelas 6 sudah tahu ibu kota negara lain
988,Yaman sebelumnya hari ini negara tersebut berbondong-bondong ke ibu kota Sanaa untuk memperbarui janji mingguannya: Jihad jihad seluruh bangsa siap Wahai Gaza Wahai Palestina seluruh Yaman bersamamu Kami akan datang di tahun ke 10 Ketabahan dan ketekunan perang https://t.co/SseIuV0SIV
309,@IKNnusantaraID Pemindahan Ibu Kota Nusantara akan meningkatkan kesempatan kerja di daerah sekitar. #IbuKotaNegara
86,@meraaahputiiih Potensi wisata Kalimantan Timur akan semakin dikembangkan #IbuKotaNegara
848,https://t.co/Yyj4doXIAN @menkominfoUKM @kemkominfo Ok gas Ok gas Ok gas Menkominfo mengungkapkan pegawai Kementerian Kominfo akan memulai berkantor di Ibu Kota Negara (IKN) Nusantara mulai Juli 2024.
784,Saatnya kita bergerak maju bersama. Tujuh proyek IKN menandai awal era baru kemakmuran dan kemandirian. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/HOcX58kjFg
310,@IKNnusantaraID Presiden mendukung pemindahan Ibu Kota Nusantara sebagai wujud keberpihakan pemerintah pada daerah lain di Indonesia. #IbuKotaNegara
535,@KotaNusantara Potensi sektor energi terbarukan akan mengurangi dampak perubahan iklim #IbuKotaNegara
136,@hafizha_anisa Padahal bogor deket banget dengan Ibu Kota Negara HARUSNYA LEBIH MAJU DOOONG IYA KAAAAAN wkwkwk
870,@KoalisiNetizen Investasi di infrastruktur dorong perkembangan sektor jasa profesional #IbuKotaNegara
465,@terindukan Kami warga Tanjung Selor mendukung pemindahan Ibu Kota negara #IbuKotaNegara
895,Pembangunan landasan pacu Bandara VVIP IKN capai 14% #IbukotaNegara #IKNNusantara #PindahIbuKota Tuku Fore IPHONE 11 GRATIS Licha Giring Akmal Sahur eSIM Tidur https://t.co/LXfbeCi6FG
261,Pembentukan kawasan aglomerasi jadi salah satu kebijakan baru yang akan berlaku saat Jakarta tidak lagi menjadi Ibu Kota Negara Indonesia. Hal tersebut tercantum dalam Undang-undang Daerah Khusus Jakarta (UU DKJ) yang telah disahkan pada 28 Maret 2024. https://t.co/OslkWF8Lin
